action,protocol,source,srcport,destination,dstport,log,disabled,name*,srcseczone,dstseczone
Permit,ip,any,any,DM_INLINE_NETWORK_286,any,Yes,Yes,grt80,GRT,
Permit,ip,DM_INLINE_NETWORK_306,any,10205104153,any,Yes,Yes,grt81,GRT,
Permit,ip,10.130.0.0,any,DM_INLINE_NETWORK_173,any,Yes,Yes,grt82,GRT,
Permit,tcp,10.132.100.30,any,10.206.10.73,DM_INLINE_TCP_61,Yes,Yes,grt83,GRT,
Permit,DM_INLINE_SERVICE_15,DM_INLINE_NETWORK_187,any,DM_INLINE_NETWORK_188,any,Yes,Yes,grt84,GRT,
Permit,tcp,10.144.16.17,any,10.207.17.10,DM_INLINE_TCP_33,Yes,Yes,grt85,GRT,
Permit,TCPUDP,10.132.100.31,any,10.206.20.121,10001,Yes,Yes,grt86,GRT,
Permit,DM_INLINE_SERVICE_11,g_Centrales_Alarmas_aA_Sevip,any,g_hosts_SEVIP,any,Yes,Yes,grt87,GRT,
Permit,tcp,DM_INLINE_NETWORK_60,any,DM_INLINE_NETWORK_337,DM_INLINE_TCP_24,Yes,Yes,grt88,GRT,
Permit,ip,g_ToIP_aA,any,DM_INLINE_NETWORK_68,any,Yes,Yes,grt89,GRT,
Permit,udp,g_ToIP_aA,any,DM_INLINE_NETWORK_58,DM_INLINE_UDP_8,Yes,Yes,grt90,GRT,
Permit,ip,g_srv_ONLINE_aA,any,10.207.15.0,any,Yes,Yes,grt91,GRT,
Permit,tcp,DM_INLINE_NETWORK_225,any,10.129.0.0,ssh,Yes,Yes,grt92,GRT,
Permit,ip,g_CNMs,any,DM_INLINE_NETWORK_313,any,Yes,Yes,grt93,GRT,
Permit,ip,DM_INLINE_NETWORK_227,any,any,any,Yes,Yes,grt94,GRT,
Permit,udp,DM_INLINE_NETWORK_216,any,10.194.7.9,any,Yes,Yes,grt95,GRT,
Permit,tcp,10.225.0.0,any,10.207.10.30,tcp_2500,Yes,Yes,grt96,GRT,
Permit,tcp,DM_INLINE_NETWORK_275,any,DM_INLINE_NETWORK_136,DM_INLINE_TCP_17,Yes,Yes,grt97,GRT,
Permit,udp,10.207.15.18,any,DM_INLINE_NETWORK_77,DM_INLINE_UDP_7,Yes,Yes,grt98,GRT,
Permit,DM_INLINE_SERVICE_25,DM_INLINE_NETWORK_336,any,10.207.22.25,any,Yes,Yes,grt99,GRT,
Permit,ip,DM_INLINE_NETWORK_246,any,DM_INLINE_NETWORK_59,any,Yes,Yes,grt100,GRT,
Permit,ip,10.207.11.0,any,DM_INLINE_NETWORK_335,any,Yes,Yes,grt101,GRT,
Permit,ip,10.131.100.30,any,DM_INLINE_NETWORK_291,any,Yes,Yes,grt102,GRT,
Permit,tcp,10.207.11.145,any,DM_INLINE_NETWORK_281,DM_INLINE_TCP_71,No,Yes,grt103,GRT,
Permit,tcp,10.207.93.173,any,10.200.102.7,www,Yes,Yes,grt104,GRT,
Permit,ip,DM_INLINE_NETWORK_258,any,10.206.10.154,any,Yes,Yes,grt105,GRT,
